Date,Month,Year,Quarter,Acquisition_Rate,Retention_Rate,Churn_Rate,Customer_Satisfaction_Score,Website_Traffic,Region,Campaign,Product_Category,Customer_Segment,Sales_Channel,Cost,Revenue,Profit
2022-12-11 00:01:45.877900,12,2022,4,0.08471274447843441,0.7627585912062346,0.06466398906731786,60,4251,East,Campaign_B,Apparel,New,Store,272,436.13190304712174,164.13190304712174
2022-12-12 00:01:45.877900,12,2022,4,0.24049096495503164,0.8266295192079542,0.05863298548811845,80,24262,East,Campaign_B,Electronics,VIP,Phone,301,649.8954363565962,348.8954363565962
2022-12-13 00:01:45.877900,12,2022,4,0.07538694592420608,0.7248368764687317,0.15861236828183972,73,38631,West,Campaign_A,Electronics,New,Online,481,1005.0853022192758,524.0853022192758
2022-12-14 00:01:45.877900,12,2022,4,0.11141055604176474,0.8244127759278163,0.21204426036709423,97,30461,East,Campaign_B,Furniture,New,Online,497,953.3819371934867,456.3819371934867
2022-12-15 00:01:45.877900,12,2022,4,0.14401800210731178,0.8381324863136238,0.20975099684896353,67,23436,South,Campaign_C,Furniture,VIP,Online,449,725.7637482029426,276.76374820294257
2022-12-16 00:01:45.877900,12,2022,4,0.18788877818960792,0.8096695587117859,0.10668054343916293,62,40294,West,Campaign_A,Apparel,Returning,Store,129,290.58474732078236,161.58474732078236
2022-12-17 00:01:45.877900,12,2022,4,0.0549600760598465,0.875166649536713,0.09828763200466446,92,21266,West,Campaign_A,Electronics,New,Store,236,446.43030640420557,210.43030640420557
2022-12-18 00:01:45.877900,12,2022,4,0.17139742174852818,0.7189321353926602,0.05298136278942252,65,49324,North,Campaign_C,Electronics,New,Store,176,347.9252086661445,171.9252086661445
2022-12-19 00:01:45.877900,12,2022,4,0.12620864370421292,0.8685612401362512,0.15235778915264825,62,31118,West,Campaign_C,Apparel,Returning,Online,475,857.803330226932,382.80333022693196
2022-12-20 00:01:45.877900,12,2022,4,0.22745672757137175,0.8909438823779041,0.16741423431773794,92,22740,South,Campaign_C,Furniture,VIP,Phone,467,1051.545762719946,584.545762719946
2022-12-21 00:01:45.877900,12,2022,4,0.09538803873893431,0.7208637335384072,0.13199371769467666,98,21810,West,Campaign_C,Furniture,VIP,Phone,271,637.4159985560281,366.41599855602806
2022-12-22 00:01:45.877900,12,2022,4,0.2208057931692582,0.8445978000793524,0.07760087289583227,67,48663,East,Campaign_C,Furniture,New,Phone,279,399.4325729854397,120.43257298543972
2022-12-23 00:01:45.877900,12,2022,4,0.1393365479363037,0.9485091599726176,0.18266133103995175,82,11465,South,Campaign_B,Furniture,New,Online,198,453.84992483286993,255.84992483286993
2022-12-24 00:01:45.877900,12,2022,4,0.22847617173255336,0.9484774130886195,0.07350355367539686,93,3025,South,Campaign_B,Furniture,Returning,Online,405,678.4292139572362,273.42921395723624
2022-12-25 00:01:45.877900,12,2022,4,0.23804834989195317,0.820137850885671,0.1516985476892017,87,1382,West,Campaign_A,Electronics,VIP,Phone,97,118.88293535017577,21.88293535017577
2022-12-26 00:01:45.877900,12,2022,4,0.20634554589630966,0.7846589163080573,0.28779625942106973,81,36418,West,Campaign_B,Electronics,VIP,Online,58,79.57460229972826,21.574602299728255
2022-12-27 00:01:45.877900,12,2022,4,0.15515926693147136,0.9257763710292828,0.24612963499048007,93,28786,West,Campaign_A,Furniture,New,Online,147,204.54319839617037,57.54319839617037
2022-12-28 00:01:45.877900,12,2022,4,0.17097922963460532,0.7256543480687316,0.06281509399373449,60,18938,East,Campaign_A,Apparel,VIP,Online,89,192.8832107659663,103.88321076596631
2022-12-29 00:01:45.877900,12,2022,4,0.07324216118885074,0.8742443747837739,0.14282136196983586,62,41485,East,Campaign_A,Electronics,Returning,Online,337,435.30766750260204,98.30766750260204
2022-12-30 00:01:45.877900,12,2022,4,0.14840370087919658,0.8563234036226917,0.14145427162383184,92,22316,North,Campaign_B,Electronics,Returning,Store,469,743.4306910138977,274.4306910138977
2022-12-31 00:01:45.877900,12,2022,4,0.170441611879578,0.7837504497897668,0.2752150712739424,73,4000,East,Campaign_B,Furniture,New,Online,52,106.94466113163683,54.944661131636835
2023-01-01 00:01:45.877900,1,2023,1,0.06247088066532169,0.904473685890066,0.05652158320535304,77,4091,West,Campaign_C,Apparel,Returning,Online,478,1096.4194980801658,618.4194980801658
2023-01-02 00:01:45.877900,1,2023,1,0.22689420625949752,0.893644453722174,0.22976347997341828,85,42549,West,Campaign_C,Furniture,VIP,Online,400,707.5469178999545,307.54691789995445
2023-01-03 00:01:45.877900,1,2023,1,0.08250031635655491,0.7462541949224455,0.2282598417164381,67,32748,North,Campaign_A,Apparel,New,Phone,486,890.5803578853187,404.5803578853187
2023-01-04 00:01:45.877900,1,2023,1,0.07828623806556889,0.8303343974903349,0.2504324978993593,70,41047,South,Campaign_A,Furniture,VIP,Store,273,540.7766773312032,267.77667733120325
2023-01-05 00:01:45.877900,1,2023,1,0.24623698344560807,0.716326318245665,0.1819568042078289,64,9467,East,Campaign_B,Electronics,Returning,Store,101,231.36642056067316,130.36642056067316
2023-01-06 00:01:45.877900,1,2023,1,0.06445417123098436,0.7183107585270259,0.06744586606809565,61,22363,East,Campaign_C,Electronics,VIP,Online,97,134.43639930515718,37.43639930515718
