Date,Product_ID,Product_Name,Category,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Material_kg,Revenue,COGS,Expenses,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_units_per_hour,Defect_Rate,Returns_Rate,Customer_Acquisition,Retention_Rate,NPS,Employee_Satisfaction,Week_Index,Weekly_Target,Target_Achieved,Rolling_4w_Sales,YoY_Sales_pct,MoM_Sales_pct,Rolling_4w_Eff,Month,Year
2023-01-02,P001,SKI_SKU_01,Skincare,1729,1729,1577,7,42.53,25.95,252.434,67064.25,44925.3,5573.1,16565.85,0.247,9,5.48,61.5,0.0,0.0048,74,0.6622,37.2,9.5,0,1894,0.8326293558606125,1577.0,,,61.5,2023-01-01,2023
2023-01-09,P001,SKI_SKU_01,Skincare,1860,1839,1589,22,42.41,26.65,271.56,67392.34,49618.81,4031.84,13741.68,0.2039,9,3.97,62.77,0.011,0.014,118,0.8111,39.9,6.1,1,1894,0.8389651531151003,1583.0,,,62.135000000000005,2023-01-01,2023
2023-01-16,P001,SKI_SKU_01,Skincare,1403,1370,1357,39,47.67,25.26,204.838,64683.73,35478.94,4621.57,24583.22,0.3801,7,2.34,44.89,0.023,0.0288,30,0.6395,11.0,7.9,2,1894,0.7164730728616684,1507.6666666666667,,,56.38666666666666,2023-01-01,2023
2023-01-23,P001,SKI_SKU_01,Skincare,1538,1533,1481,19,41.65,27.74,224.548,61678.14,42711.16,6635.74,12331.24,0.1999,7,3.24,50.66,0.003,0.0132,94,0.7367,19.9,6.92,3,1894,0.7819429778247096,1501.0,,,54.955,2023-01-01,2023
2023-01-30,P001,SKI_SKU_01,Skincare,2054,2018,1806,19,45.8,27.99,299.884,82712.55,57544.08,7369.69,17798.77,0.2152,10,4.04,69.49,0.0172,0.011,49,0.7584,39.5,8.55,4,1894,0.9535374868004224,1558.25,,0.14521242866201645,56.9525,2023-01-01,2023
2023-02-06,P001,SKI_SKU_01,Skincare,2585,2548,2205,46,43.68,26.69,377.41,96304.08,69077.71,11433.37,15793.0,0.164,6,3.16,84.92,0.014,0.0209,77,0.6821,47.7,6.73,5,1894,1.1642027455121435,1712.25,,0.38766519823788537,62.489999999999995,2023-02-01,2023
2023-02-13,P001,SKI_SKU_01,Skincare,1725,1681,1624,35,47.5,26.04,251.85,77135.65,44973.71,4951.01,27210.93,0.3528,11,6.83,64.44,0.0249,0.0218,54,0.7764,26.5,4.81,6,1894,0.8574445617740233,1779.0,,0.19675755342667656,67.3775,2023-02-01,2023
2023-02-20,P001,SKI_SKU_01,Skincare,1756,1708,1531,59,44.0,28.28,256.376,67362.54,49702.58,8406.43,9253.53,0.1374,6,4.42,60.18,0.0268,0.0389,53,0.7105,7.0,7.18,7,1894,0.8083421330517423,1791.5,,0.03376097231600261,69.75750000000001,2023-02-01,2023
2023-02-27,P001,SKI_SKU_01,Skincare,2389,2330,2029,40,43.2,27.25,348.794,87653.42,65174.57,9555.77,12923.07,0.1474,8,4.62,82.42,0.0245,0.0199,69,0.6519,46.6,8.46,8,1894,1.0712777191129883,1847.25,,0.12347729789590245,72.99000000000001,2023-02-01,2023
2023-03-06,P001,SKI_SKU_01,Skincare,1660,1639,1437,30,46.06,25.01,242.36,66190.52,41570.3,6182.23,18437.99,0.2786,9,5.15,58.36,0.0126,0.021,48,0.6698,17.3,7.63,9,1894,0.7587117212249208,1655.25,,-0.3482993197278912,66.35,2023-03-01,2023
