Year,Product_ID,Product_Name,Category,Produced_Units,Good_Units,Sales_Units,Returned_Units,Revenue,COGS,Expenses,Profit,Material_kg,Customer_Acquisition,NPS,Employee_Satisfaction,Downtime_hours,Defect_Rate
2024,P001,SKI_SKU_01,Skincare,108617,106262,98467,2076,4413914.36,2911831.68,390457.01,1111625.68,15858.082,5136,28.18867924528302,7.310188679245283,275.27,0.021833962264150943
2024,P002,FRA_SKU_02,Fragrance,35213,34368,31805,637,296849.46,181840.34,51901.99,63107.21,16690.962,1536,30.38490566037736,7.268490566037737,269.25,0.023164150943396227
2024,P003,HAI_SKU_03,Haircare,104812,102726,95709,2053,4328815.13,2273475.51,400672.16,1654667.39,45173.972,4513,30.967924528301886,7.254905660377358,263.46,0.01968867924528302
2024,P004,MAK_SKU_04,Makeup,40802,39904,36961,817,569720.44,398576.5,75516.6,95627.39,4447.418,1805,32.422641509433966,7.249056603773584,249.63,0.02135849056603774
2024,P005,SKI_SKU_05,Skincare,94624,92896,85373,1891,1426103.5,889163.79,145047.95,391891.75,41445.312,4083,28.066037735849058,7.29433962264151,270.28,0.01773207547169811
2024,P006,SKI_SKU_06,Skincare,45840,44916,41478,674,272542.02,151655.82,49398.83,71487.34,13706.16,2012,34.49622641509434,7.308301886792452,275.95,0.01946415094339623
2024,P007,SKI_SKU_07,Skincare,54559,53239,48794,915,613151.05,409987.26,78726.72,124437.05,16531.377,2351,32.367924528301884,7.157358490566037,266.49,0.023860377358490566
2024,P008,HAI_SKU_08,Haircare,39683,38897,35981,689,300268.06,151867.8,52847.62,95552.62,4722.277,1725,28.158490566037738,7.183962264150943,273.46,0.019341509433962262
2024,P009,MAK_SKU_09,Makeup,102029,99971,92912,1756,1644670.19,1109717.6199999999,162060.17,372892.39,38362.904,4632,29.296226415094342,7.1415094339622645,256.79,0.019926415094339622
2024,P010,HAI_SKU_10,Haircare,66945,65573,60559,1203,1375527.96,578324.42,146351.83,650851.78,12250.935,3099,30.11132075471698,7.131509433962264,278.69,0.019866037735849055
