Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount
2022-01-03,0,P001,HAI_SKU_01,Fragrance,North,Wholesale,LineC,None,1336,1312,1228,33,56.91,29.61,509.02,39609.86,3852.45,4938.95,947.32,69885.48,20536.9,0.2939,13,6.17,55.5,0.0174,0.027,3964,0,107,0.6094,38.1,6.34,False,0.0
2022-01-10,1,P001,HAI_SKU_01,Fragrance,East,E-commerce,LineA,SummerSale,1326,1315,1522,19,52.5,30.15,575.48,40036.45,5515.27,5673.44,649.45,79905.0,28030.39,0.3508,6,2.09,47.11,0.0081,0.0125,3773,106,96,0.774,32.6,7.03,True,0.11
2022-01-17,2,P001,HAI_SKU_01,Fragrance,West,E-commerce,LineB,HolidayPush,1273,1250,1235,6,58.67,28.02,509.2,35720.38,2496.79,3796.08,403.06,72457.45,30041.14,0.4146,6,3.89,48.31,0.0177,0.0053,3524,0,88,0.7176,40.6,6.55,False,0.0
2022-01-24,3,P001,HAI_SKU_01,Fragrance,West,Wholesale,LineA,None,1365,1345,1127,38,59.3,28.91,405.4,39502.69,1358.17,1996.87,734.09,66831.1,23239.28,0.3477,6,4.06,52.15,0.0146,0.0345,2512,0,45,0.651,32.2,5.79,False,0.0
2022-01-31,4,P001,HAI_SKU_01,Fragrance,East,Retail,LineC,None,1259,1213,1537,38,37.4,28.88,380.22,36397.94,3915.8,3497.45,730.93,57483.8,12941.68,0.2251,14,3.94,47.88,0.0363,0.025,1170,165,80,0.7437,19.3,7.42,True,0.35
2022-02-07,5,P001,HAI_SKU_01,Fragrance,West,Retail,LineB,NewLaunch,1424,1375,1247,7,59.52,29.57,425.78,42150.26,1060.68,4357.57,374.37,74221.44,26278.56,0.3541,11,4.77,55.9,0.0338,0.0058,2550,0,106,0.6807,23.0,7.6,False,0.0
2022-02-14,6,P001,HAI_SKU_01,Fragrance,East,Retail,LineA,None,1086,1047,974,16,60.78,29.12,460.46,31670.37,3573.53,4206.48,1135.63,59199.72,18613.71,0.3144,8,6.3,45.36,0.035,0.0165,3994,0,63,0.734,25.7,6.97,False,0.0
2022-02-21,7,P001,HAI_SKU_01,Fragrance,East,E-commerce,LineC,SummerSale,1041,1007,1037,24,60.8,29.81,410.15,31073.23,555.96,2652.05,465.2,63049.6,28303.16,0.4489,5,3.56,39.02,0.0318,0.0238,3971,15,61,0.7323,36.8,6.33,False,0.0
2022-02-28,8,P001,HAI_SKU_01,Fragrance,South,Retail,LineA,HolidayPush,1072,1045,939,18,58.74,27.75,473.82,29795.38,1361.65,1734.94,468.47,55156.86,21796.42,0.3952,1,5.39,43.14,0.0249,0.0201,2918,0,50,0.6311,47.5,6.33,False,0.0
2022-03-07,9,P001,HAI_SKU_01,Fragrance,South,Retail,LineC,NewLaunch,1223,1211,1053,14,56.38,27.78,474.52,34022.39,219.7,3423.98,394.27,59368.14,21307.8,0.3589,4,7.05,52.73,0.0091,0.0133,3224,0,59,0.6754,11.2,8.18,False,0.0
2022-03-14,10,P001,HAI_SKU_01,Fragrance,North,E-commerce,LineB,HolidayPush,1458,1421,1334,0,61.67,30.95,532.17,45178.32,938.64,3675.83,899.51,82267.78,31575.48,0.3838,6,6.35,61.04,0.0253,0.0,2735,0,74,0.6485,39.8,8.7,False,0.0
2022-03-21,11,P001,HAI_SKU_01,Fragrance,West,Wholesale,LineA,None,1293,1273,1261,10,52.49,29.25,509.44,37871.19,4461.22,1513.3,766.04,66189.89,21578.14,0.326,7,2.13,45.99,0.0149,0.0082,2807,0,111,0.6638,37.8,7.64,True,0.1
2022-03-28,12,P001,HAI_SKU_01,Fragrance,Central,E-commerce,LineC,None,1344,1317,1345,30,61.51,31.05,587.33,41789.93,2618.33,5630.42,877.17,82730.95,31815.1,0.3846,3,6.35,56.25,0.02,0.0226,3162,15,92,0.6599,15.8,6.61,False,0.0
2022-04-04,13,P001,HAI_SKU_01,Fragrance,West,E-commerce,LineB,None,1245,1244,1188,23,56.42,30.33,460.65,37806.92,1523.68,5107.38,239.19,67026.96,22349.8,0.3334,6,9.08,58.82,0.0006,0.0195,1283,0,76,0.7834,50.6,7.58,False,0.0
