Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount,Month,Quarter,Year,Weekly_Target,Target_Achieved,Rolling_4w_Sales,Rolling_13w_Sales,WoW_pct_Sales_Units,WoW_pct_Revenue,WoW_pct_Lead_Time_days,WoW_pct_Efficiency_u_per_h
2022-01-03,0,P001,MAK_SKU_01,Makeup,South,Retail,None,2263,2239,1910,45,22.3,10.17,893.88,23104.1,1935.64,1537.47,1037.05,42593.0,14978.74,0.3517,7,10.12,112.5,0.0102,0.0239,1960,0,77,0.7413,23.4,7.08,False,0.0,2022-01-01,2022-01-01,2022,2208,0.8650362318836662,1910.0,1910.0,,,,
2022-01-10,1,P001,MAK_SKU_01,Makeup,Central,E-commerce,SummerSale,1872,1828,1536,29,22.51,10.53,542.88,19766.45,3657.12,1144.53,563.1,34575.36,9444.16,0.2731,8,5.98,77.15,0.0231,0.0195,2236,0,81,0.6671,57.1,8.72,False,0.0,2022-01-01,2022-01-01,2022,2208,0.6956521739127284,1723.0,1723.0,-0.1958115183246073,-0.18823844293663272,0.1428571428571428,-0.3142222222222222
2022-01-17,2,P001,MAK_SKU_01,Makeup,South,Retail,None,2839,2795,2488,10,22.24,9.97,823.31,28387.16,1423.53,3303.05,1046.51,55333.12,21172.87,0.3826,10,8.02,127.76,0.0153,0.0041,3488,0,132,0.6349,8.9,7.44,False,0.0,2022-01-01,2022-01-01,2022,2208,1.1268115942023882,1978.0,1978.0,0.6197916666666667,0.6003628017177551,0.25,0.65599481529488
2022-01-24,3,P001,MAK_SKU_01,Makeup,West,Wholesale,None,2181,2115,1947,32,21.35,10.44,763.35,22845.97,1272.82,1569.32,763.48,41568.45,15116.85,0.3637,12,12.47,122.76,0.0302,0.0165,4260,0,160,0.6142,42.6,6.67,False,0.0,2022-01-01,2022-01-01,2022,2208,0.8817934782604702,1970.25,1970.25,-0.217443729903537,-0.24876005546045488,0.19999999999999996,-0.03913587977457733
2022-01-31,4,P001,MAK_SKU_01,Makeup,East,Wholesale,None,2227,2212,1995,32,21.65,10.87,844.03,24291.89,384.6,2700.43,1039.24,43191.75,14775.59,0.3421,8,2.47,80.19,0.0067,0.016,2780,0,94,0.764,10.5,7.39,False,0.0,2022-01-01,2022-01-01,2022,2208,0.903532608695243,1991.5,1975.2,0.024653312788905923,0.03905125161029588,-0.33333333333333337,-0.3467741935483871
2022-02-07,5,P001,MAK_SKU_01,Makeup,Central,E-commerce,None,2059,2059,1643,20,22.0,10.27,796.83,21225.61,3724.79,2351.05,774.06,36146.0,8070.49,0.2233,6,1.23,70.97,0.0,0.0126,3619,0,138,0.717,24.0,6.17,False,0.0,2022-02-01,2022-01-01,2022,2208,0.7441123188402428,2018.25,1919.8333333333333,-0.17644110275689218,-0.1631272175820614,-0.25,-0.11497692979174456
2022-02-14,6,P001,MAK_SKU_01,Makeup,South,Wholesale,SummerSale,2482,2381,2534,34,16.34,10.33,928.27,25731.89,4109.79,900.95,835.9,41405.56,9827.03,0.2373,5,4.67,97.08,0.0407,0.0136,2887,78,175,0.6456,30.4,8.02,True,0.22,2022-02-01,2022-01-01,2022,2208,1.1476449275357121,2029.75,2007.5714285714287,0.5423006695069994,0.14550876998838036,-0.16666666666666663,0.3679019303931239
2022-02-21,7,P001,MAK_SKU_01,Makeup,West,Retail,None,2713,2631,2324,39,20.88,11.03,865.45,30010.93,910.23,2185.45,1189.03,48525.12,14229.48,0.2932,6,0.0,89.72,0.0301,0.017,3546,0,113,0.5061,25.1,6.81,False,0.0,2022-02-01,2022-01-01,2022,2208,1.0525362318835814,2124.0,2047.125,-0.08287292817679559,0.17194695591606557,0.19999999999999996,-0.07581376184590027
2022-02-28,8,P001,MAK_SKU_01,Makeup,West,E-commerce,NewLaunch,1737,1674,1347,12,22.57,9.89,581.89,17237.12,890.88,1558.42,679.33,30401.79,10036.04,0.3301,4,2.88,63.48,0.0359,0.0096,3151,0,88,0.7358,7.9,7.66,False,0.0,2022-02-01,2022-01-01,2022,2208,0.6100543478258107,1962.0,1969.3333333333333,-0.4203958691910499,-0.37348346588323744,-0.33333333333333337,-0.2924654480606331
2022-03-07,9,P001,MAK_SKU_01,Makeup,North,E-commerce,None,2204,2147,1883,46,20.14,10.33,678.83,22835.2,1519.87,998.41,432.48,37923.62,12137.66,0.3201,3,8.24,100.18,0.0255,0.0246,2628,0,57,0.6175,35.8,5.12,True,0.13,2022-03-01,2022-01-01,2022,2208,0.8528079710141065,2022.0,1960.7,0.39792130660727554,0.24741405029111774,-0.25,0.5781348456206681
