Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount
2022-01-03,0,P001,FRA_SKU_01,Fragrance,North,E-commerce,LineB,None,854,842,738,12,22.67,9.45,263.89,8096.69,581.98,1072.83,1176.44,16730.46,5802.52,0.3468,6,10.07,42.35,0.0136,0.0165,2995,0,37,0.743,18.1,8.14,False,0.0
2022-01-10,1,P001,FRA_SKU_01,Fragrance,North,Retail,LineB,HolidayPush,893,872,773,9,22.61,8.66,251.83,7758.56,3121.19,1169.43,1052.41,17477.53,4375.94,0.2504,8,1.87,31.48,0.0233,0.0124,3837,0,27,0.6129,28.7,6.06,False,0.0
2022-01-17,2,P001,FRA_SKU_01,Fragrance,East,Retail,LineA,SummerSale,932,901,706,11,24.81,9.13,271.21,8536.28,2060.25,1324.01,715.88,17515.86,4879.44,0.2786,4,3.51,34.86,0.0328,0.0162,3693,0,38,0.7092,21.6,6.86,False,0.0
2022-01-24,3,P001,FRA_SKU_01,Fragrance,Central,Retail,LineC,None,831,813,774,3,17.01,8.47,237.67,7062.34,5560.82,266.14,1002.6,13165.74,-726.16,-0.0552,5,3.61,31.21,0.0206,0.0045,3665,0,64,0.7601,26.6,7.23,True,0.24
2022-01-31,4,P001,FRA_SKU_01,Fragrance,South,Retail,LineC,NewLaunch,697,677,649,15,24.26,9.49,259.98,6640.53,1757.85,878.88,938.44,15744.74,5529.04,0.3512,3,6.63,29.52,0.0286,0.0239,3739,0,26,0.6062,34.1,7.72,False,0.0
2022-02-07,5,P001,FRA_SKU_01,Fragrance,Central,E-commerce,LineA,None,714,679,759,8,15.84,8.6,172.79,6157.68,2904.16,420.74,768.28,12022.56,1771.7,0.1474,11,5.3,28.63,0.0478,0.0113,3930,37,48,0.6851,52.1,6.77,True,0.28
2022-02-14,6,P001,FRA_SKU_01,Fragrance,Central,E-commerce,LineB,None,805,791,735,7,22.75,8.33,167.44,6722.39,424.96,654.45,643.06,16721.25,8276.39,0.495,3,9.95,39.67,0.0169,0.0098,1963,0,53,0.5441,38.7,8.57,False,0.0
2022-02-21,7,P001,FRA_SKU_01,Fragrance,South,Retail,LineA,None,845,824,737,5,24.01,9.27,162.24,7849.37,1740.44,815.84,826.38,17695.37,6463.34,0.3653,12,5.02,33.51,0.0248,0.008,3317,0,43,0.618,24.3,6.58,False,0.0
2022-02-28,8,P001,FRA_SKU_01,Fragrance,North,E-commerce,LineC,SummerSale,706,702,746,0,23.74,8.4,182.85,5948.69,2048.8,779.66,787.17,17710.04,8145.72,0.4599,5,8.24,32.1,0.0049,0.0,1942,21,27,0.7378,49.1,6.92,False,0.0
2022-03-07,9,P001,FRA_SKU_01,Fragrance,West,E-commerce,LineB,NewLaunch,741,713,629,6,23.82,8.77,191.18,6517.69,2174.41,716.96,874.11,14982.78,4699.61,0.3137,9,8.42,33.96,0.0365,0.0105,2379,0,44,0.6696,21.5,7.52,False,0.0
2022-03-14,10,P001,FRA_SKU_01,Fragrance,West,E-commerce,LineC,None,762,762,710,6,23.97,8.63,171.45,6593.21,3640.72,622.04,1041.15,17018.7,5121.58,0.3009,3,8.37,34.84,0.0,0.0091,3059,0,38,0.7403,29.1,6.83,False,0.0
2022-03-21,11,P001,FRA_SKU_01,Fragrance,Central,Retail,LineA,None,692,681,792,14,17.95,8.82,206.22,6124.06,4070.86,399.3,987.85,14216.4,2634.33,0.1853,5,5.71,28.21,0.0147,0.0185,4072,59,39,0.7785,52.5,5.83,True,0.21
2022-03-28,12,P001,FRA_SKU_01,Fragrance,West,E-commerce,LineC,None,707,690,656,11,22.41,9.48,241.79,6726.54,1607.86,926.19,1186.06,14700.96,4254.31,0.2894,5,6.95,30.36,0.0228,0.0179,3338,0,41,0.6767,37.5,7.21,False,0.0
2022-04-04,13,P001,FRA_SKU_01,Fragrance,South,E-commerce,LineB,HolidayPush,892,872,945,17,22.88,8.99,336.28,8052.71,603.71,1411.86,907.65,21621.6,10645.67,0.4924,5,6.47,37.52,0.0222,0.0183,2642,33,41,0.7285,22.7,6.53,False,0.0
2022-04-11,14,P001,FRA_SKU_01,Fragrance,North,Retail,LineB,HolidayPush,794,760,599,7,23.86,9.16,254.08,7298.45,1058.29,1130.24,318.11,14292.14,4487.05,0.314,8,6.37,33.27,0.0422,0.0131,3064,0,40,0.6375,11.9,7.44,False,0.0
2022-04-18,15,P001,FRA_SKU_01,Fragrance,West,E-commerce,LineB,None,659,641,670,10,18.04,8.84,154.86,5841.05,2316.26,918.74,467.26,12086.8,2543.49,0.2104,2,10.0,32.56,0.0271,0.0154,3171,15,27,0.7043,29.5,10.0,True,0.24
2022-04-25,16,P001,FRA_SKU_01,Fragrance,South,Retail,LineB,None,800,767,711,6,24.4,9.03,289.6,7252.96,3086.57,1059.48,1132.42,17348.4,4816.97,0.2777,4,4.26,30.79,0.04,0.0084,5630,0,33,0.7576,12.4,6.1,False,0.0
