Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition_Rate,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount
2022-01-03,0,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,None,977,941,925,29,52.58,39.53,430.86,38663.9,3718.63,3327.14,958.86,48636.5,1967.97,0.0405,8,5.51,39.5,0.0359,0.0324,2102,0,42,0.6589,27.6,6.76,False,0.0
2022-01-10,1,P001,SKI_SKU_01,Skincare,East,E-commerce,LineB,None,770,764,790,0,53.67,36.85,401.17,28414.62,398.26,2561.49,571.59,42399.3,10453.34,0.2465,12,6.19,32.02,0.007,0.0,1830,12,39,0.6843,36.9,7.0,False,0.0
2022-01-17,2,P001,SKI_SKU_01,Skincare,Central,Retail,LineC,None,791,775,708,3,53.95,39.46,310.07,31243.87,667.87,962.25,801.74,38196.6,4520.87,0.1184,7,9.01,37.27,0.02,0.0051,1834,0,35,0.7624,16.5,6.79,False,0.0
2022-01-24,3,P001,SKI_SKU_01,Skincare,West,Retail,LineA,SummerSale,897,881,826,10,54.74,34.83,618.93,31304.4,1191.87,1411.04,844.38,45215.24,10463.55,0.2314,4,0.53,30.2,0.0177,0.0132,4269,0,26,0.6972,48.1,8.65,False,0.0
2022-01-31,4,P001,SKI_SKU_01,Skincare,East,Retail,LineB,NewLaunch,803,803,759,10,55.58,39.0,448.88,31361.89,297.21,2668.44,573.85,42185.22,7283.83,0.1727,2,10.86,41.42,0.0,0.0136,4326,0,68,0.6325,37.3,6.33,False,0.0
2022-02-07,5,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1158,1129,1101,2,58.21,35.98,585.95,41723.43,3223.12,2601.91,356.6,64089.21,16184.15,0.2525,8,4.65,45.26,0.025,0.0025,3897,0,71,0.7071,51.2,6.45,False,0.0
2022-02-14,6,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineB,None,796,789,815,1,57.12,34.97,522.97,27888.42,2963.04,2010.3,842.31,46552.8,12848.73,0.276,6,4.79,31.27,0.0086,0.0013,3112,10,59,0.8408,38.9,6.28,False,0.0
2022-02-21,7,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineA,NewLaunch,891,871,898,9,53.34,34.88,439.26,31122.01,1843.33,2905.03,417.51,47899.32,11611.44,0.2424,9,8.05,40.16,0.0223,0.0111,2864,14,55,0.7127,35.9,6.89,False,0.0
2022-02-28,8,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,1004,1004,944,24,53.81,38.62,504.01,38824.88,2211.74,1302.97,907.26,50796.64,7549.79,0.1486,7,8.11,45.36,0.0,0.0262,2529,0,29,0.641,22.2,8.42,False,0.0
2022-03-07,9,P001,SKI_SKU_01,Skincare,North,Retail,LineA,None,774,774,715,23,51.59,36.1,351.4,27976.54,3709.93,1578.27,1150.29,36886.85,2471.82,0.067,9,3.66,29.12,0.0,0.0325,3666,0,64,0.6151,36.2,6.99,False,0.0
2022-03-14,10,P001,SKI_SKU_01,Skincare,South,Retail,LineC,None,904,886,691,11,54.68,39.13,655.4,35439.06,3232.75,2722.94,1128.07,37783.88,-4738.94,-0.1254,8,4.85,35.6,0.0188,0.0163,2078,0,52,0.673,16.6,7.36,False,0.0
2022-03-21,11,P001,SKI_SKU_01,Skincare,South,E-commerce,LineB,None,1039,1036,1041,17,51.69,36.4,387.55,37858.35,3464.16,1690.24,870.92,53809.29,9925.62,0.1845,4,2.86,37.95,0.0025,0.0169,3143,1,48,0.6388,17.6,7.05,False,0.0
2022-03-28,12,P001,SKI_SKU_01,Skincare,South,Wholesale,LineB,None,1008,971,881,0,52.22,35.03,460.66,35356.31,3372.52,2921.52,501.1,46005.82,3854.37,0.0838,2,4.34,38.92,0.0362,0.0,2933,0,54,0.7061,20.6,7.6,False,0.0
2022-04-04,13,P001,SKI_SKU_01,Skincare,Central,Retail,LineB,None,749,744,624,3,57.81,34.7,432.92,26033.59,747.9,1853.43,323.54,36073.44,7114.98,0.1972,1,4.98,29.65,0.0064,0.0061,3537,0,26,0.7409,18.8,5.49,False,0.0
