Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount,Month,Quarter,Year,Weekly_Target,Target_Achieved,Rolling_4w_Sales,Rolling_13w_Sales,WoW_pct_Sales_Units,WoW_pct_Revenue,WoW_pct_Lead_Time_days,WoW_pct_Efficiency_u_per_h,anomaly_score,is_anomaly,Weeks_of_Inventory
2022-01-03,0,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,None,977,941,925,29,52.58,39.53,430.86,38663.9,3718.63,3327.14,958.86,48636.5,1967.97,0.0405,8,5.51,39.5,0.0359,0.0324,2102,0,42,0.6589,27.6,6.76,False,0.0,2022-01-01,2022-01-01,2022,942,0.9819532908694459,925.0,925.0,,,,,0.22354037028656182,False,2.2724324299757486
2022-01-10,1,P001,SKI_SKU_01,Skincare,East,E-commerce,LineB,None,770,764,790,0,53.67,36.85,401.17,28414.62,398.26,2561.49,571.59,42399.3,10453.34,0.2465,12,6.19,32.02,0.007,0.0,1830,12,39,0.6843,36.9,7.0,False,0.0,2022-01-01,2022-01-01,2022,942,0.83864118895877,857.5,857.5,-0.1459459459459459,-0.1282411357725165,0.5,-0.18936708860759488,0.2147485068029069,False,2.316455693270309
2022-01-17,2,P001,SKI_SKU_01,Skincare,Central,Retail,LineC,None,791,775,708,3,53.95,39.46,310.07,31243.87,667.87,962.25,801.74,38196.6,4520.87,0.1184,7,9.01,37.27,0.02,0.0051,1834,0,35,0.7624,16.5,6.79,False,0.0,2022-01-01,2022-01-01,2022,942,0.7515923566871002,807.6666666666666,807.6666666666666,-0.10379746835443038,-0.09912191946565163,-0.41666666666666663,0.16396002498438467,0.21460992954602232,False,2.590395476567238
2022-01-24,3,P001,SKI_SKU_01,Skincare,West,Retail,LineA,SummerSale,897,881,826,10,54.74,34.83,618.93,31304.4,1191.87,1411.04,844.38,45215.24,10463.55,0.2314,4,0.53,30.2,0.0177,0.0132,4269,0,26,0.6972,48.1,8.65,False,0.0,2022-01-01,2022-01-01,2022,942,0.8768577494682837,812.25,812.25,0.16666666666666674,0.1837503861600247,-0.4285714285714286,-0.18969680708344516,0.1563237024353762,False,5.168280865413704
2022-01-31,4,P001,SKI_SKU_01,Skincare,East,Retail,LineB,NewLaunch,803,803,759,10,55.58,39.0,448.88,31361.89,297.21,2668.44,573.85,42185.22,7283.83,0.1727,2,10.86,41.42,0.0,0.0136,4326,0,68,0.6325,37.3,6.33,False,0.0,2022-01-01,2022-01-01,2022,942,0.8057324840755777,770.75,801.6,-0.08111380145278446,-0.0670132459763566,-0.5,0.37152317880794716,0.1391534426308776,False,5.699604735573644
2022-02-07,5,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1158,1129,1101,2,58.21,35.98,585.95,41723.43,3223.12,2601.91,356.6,64089.21,16184.15,0.2525,8,4.65,45.26,0.025,0.0025,3897,0,71,0.7071,51.2,6.45,False,0.0,2022-02-01,2022-01-01,2022,942,1.1687898089159567,848.5,851.5,0.45059288537549413,0.5192337505884761,3.0,0.09270883631096072,0.2212936142567743,False,3.5395095335699276
2022-02-14,6,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineB,None,796,789,815,1,57.12,34.97,522.97,27888.42,2963.04,2010.3,842.31,46552.8,12848.73,0.276,6,4.79,31.27,0.0086,0.0013,3112,10,59,0.8408,38.9,6.28,False,0.0,2022-02-01,2022-01-01,2022,942,0.8651804670903767,875.25,846.2857142857143,-0.25976385104450495,-0.27362499865421963,-0.25,-0.30910296067167475,0.21047724053499178,False,3.818404903290301
2022-02-21,7,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineA,NewLaunch,891,871,898,9,53.34,34.88,439.26,31122.01,1843.33,2905.03,417.51,47899.32,11611.44,0.2424,9,8.05,40.16,0.0223,0.0111,2864,14,55,0.7127,35.9,6.89,False,0.0,2022-02-01,2022-01-01,2022,942,0.9532908704873108,893.25,852.75,0.10184049079754609,0.02892457596535536,0.5,0.2842980492484808,0.23310627168324516,False,3.189309573285847
2022-02-28,8,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,1004,1004,944,24,53.81,38.62,504.01,38824.88,2211.74,1302.97,907.26,50796.64,7549.79,0.1486,7,8.11,45.36,0.0,0.0262,2529,0,29,0.641,22.2,8.42,False,0.0,2022-02-01,2022-01-01,2022,942,1.002123142249467,939.5,862.8888888888889,0.05122494432071267,0.06048770629729194,-0.2222222222222222,0.12948207171314752,0.19819019870851118,False,2.679025420890863
2022-03-07,9,P001,SKI_SKU_01,Skincare,North,Retail,LineA,None,774,774,715,23,51.59,36.1,351.4,27976.54,3709.93,1578.27,1150.29,36886.85,2471.82,0.067,9,3.66,29.12,0.0,0.0325,3666,0,64,0.6151,36.2,6.99,False,0.0,2022-03-01,2022-01-01,2022,942,0.7590233545639501,843.0,848.1,-0.24258474576271183,-0.27383287556027325,0.2857142857142858,-0.3580246913580246,0.17839556857211886,False,5.1272727201017165
